"Side-effect","Total","Deaths"
"Headache",48504,1
"Pyrexia",36823,0
"Chills",29625,0
"Fatigue",29037,0
"Nausea",21367,0
"Myalgia",17544,0
"Arthralgia",13513,0
"Dizziness",12105,0
"Pain in extremity",10685,0
"Pain",8917,0
"Malaise",7474,3
"Vomiting",7124,2
"Tremor",6683,1
"Influenza like illness",6204,1
"Hyperhidrosis",5893,0
"Diarrhoea",5118,0
"Influenza",4302,0
"Decreased appetite",4292,0
"Paraesthesia",3833,0
"Pruritus",3774,0
"Migraine",3771,0
"Rash",3639,0
"Feeling cold",3446,0
"Back pain",3268,0
"Illness",3114,0
"Dyspnoea",3035,3
"Peripheral swelling",2941,0
"Lethargy",2817,0
"Injection site pain",2810,0
"Abdominal pain upper",2755,0
"Palpitations",2658,0
"Asthenia",2638,3
"Abdominal pain",2455,0
"Oropharyngeal pain",2441,0
"Lymphadenopathy",2423,0
"Hypoaesthesia",2185,0
"Chest pain",2174,0
"Cough",2030,0
"Eye pain",1894,0
"Erythema",1831,0
"Insomnia",1750,0
"Neck pain",1530,0
"Feeling abnormal",1406,0
"Feeling hot",1367,0
"Swelling",1345,0
"Dizziness postural",1305,1
"Muscle spasms",1291,0
"Syncope",1270,0
"Tenderness",1220,0
"Heart rate increased",1181,0
"Hot flush",1180,0
"Limb discomfort",1149,0
"Musculoskeletal stiffness",1125,0
"Ear pain",1095,0
"Night sweats",1095,0
"Vaccination site pain",1094,0
"Dysgeusia",1091,0
"Rash erythematous",1085,0
"Urticaria",1084,0
"Cold sweat",1068,0
"Chest discomfort",1067,0
"Tinnitus",1009,0
"Somnolence",1005,1
"Confusional state",987,1
"Rhinorrhoea",980,0
"Muscular weakness",962,0
"Nasopharyngitis",943,0
"Abdominal discomfort",876,0
"Injection site mass",865,0
"Rash pruritic",854,0
"Contusion",838,0
"Vision blurred",836,0
"Thirst",817,0
"Tachycardia",816,0
"Body temperature increased",777,0
"Tension headache",744,0
"Peripheral coldness",726,0
"Dry mouth",711,0
"Vertigo",694,0
"Body temperature",693,0
"Hypersensitivity",635,0
"Feeling of body temperature change",628,0
"Heart rate",613,0
"Bone pain",612,0
"Epistaxis",611,0
"Pain of skin",581,0
"Hallucination",568,0
"Photophobia",564,0
"Ageusia",560,0
"Muscle fatigue",539,0
"Seizure",539,2
"Neuralgia",535,0
"Renal pain",533,0
"Lip swelling",502,0
"Injection related reaction",495,0
"Swelling face",493,0
"Sweating fever",488,0
"Loss of consciousness",487,0
"Sinus headache",485,0
"Paraesthesia oral",469,0
"Maternal exposure during breast feeding",463,0
"Flushing",445,0
"Dyspepsia",422,0
"Anxiety",416,0
"Poor quality sleep",403,0
"Disorientation",395,0
"Adverse drug reaction",394,2
"Balance disorder",386,0
"Dehydration",382,0
"Nervousness",381,0
"Anaphylactic reaction",378,1
"Injection site erythema",374,0
"Vaccination site erythema",373,0
"Sensitive skin",368,0
"Axillary pain",360,0
"Mouth ulceration",358,0
"Herpes zoster",349,0
"Cluster headache",349,0
"Oral herpes",347,0
"Presyncope",335,0
"Skin warm",333,0
"Hypoaesthesia oral",323,0
"Burning sensation",321,0
"Rash macular",314,0
"Wheezing",313,0
"Swollen tongue",309,0
"Skin burning sensation",306,0
"Inflammation",305,0
"Pain in jaw",304,0
"Thrombosis",303,14
"Vaccination site mass",299,0
"Delirium",297,0
"Sinus pain",296,0
"Hypertension",296,0
"Restlessness",288,0
"Pulmonary embolism",287,37
"Taste disorder",275,0
"Cellulitis",272,1
"Nightmare",271,0
"Hypotension",271,0
"Vaccination site swelling",269,0
"Nasal congestion",268,0
"Lymph node pain",266,0
"Eye swelling",265,0
"Disturbance in attention",265,0
"Asthma",264,0
"Cerebrovascular accident",259,18
